year,city,country,avg_temp
1808,Irbil,Iraq,12.16
1809,Irbil,Iraq,17.49
1810,Irbil,Iraq,17.50
1811,Irbil,Iraq,17.56
1812,Irbil,Iraq,17.64
1813,Irbil,Iraq,18.28
1814,Irbil,Iraq,18.46
1815,Irbil,Iraq,19.18
1816,Irbil,Iraq,
1817,Irbil,Iraq,21.38
1818,Irbil,Iraq,5.07
1819,Irbil,Iraq,16.76
1820,Irbil,Iraq,18.17
1821,Irbil,Iraq,18.45
1822,Irbil,Iraq,18.17
1823,Irbil,Iraq,18.60
1824,Irbil,Iraq,19.50
1825,Irbil,Iraq,18.72
1826,Irbil,Iraq,18.61
1827,Irbil,Iraq,19.58
1828,Irbil,Iraq,18.62
1829,Irbil,Iraq,18.69
1830,Irbil,Iraq,19.00
1831,Irbil,Iraq,18.26
1832,Irbil,Iraq,17.60
1833,Irbil,Iraq,18.56
1834,Irbil,Iraq,18.42
1835,Irbil,Iraq,18.01
1836,Irbil,Iraq,18.43
1837,Irbil,Iraq,18.18
1838,Irbil,Iraq,17.91
1839,Irbil,Iraq,18.16
1840,Irbil,Iraq,18.14
1841,Irbil,Iraq,18.37
1842,Irbil,Iraq,18.73
1843,Irbil,Iraq,18.66
1844,Irbil,Iraq,18.36
1845,Irbil,Iraq,18.52
1846,Irbil,Iraq,19.13
1847,Irbil,Iraq,18.72
1848,Irbil,Iraq,18.66
1849,Irbil,Iraq,18.81
1850,Irbil,Iraq,18.21
1851,Irbil,Iraq,19.23
1852,Irbil,Iraq,18.85
1853,Irbil,Iraq,19.17
1854,Irbil,Iraq,18.33
1855,Irbil,Iraq,18.99
1856,Irbil,Iraq,18.47
1857,Irbil,Iraq,18.05
1858,Irbil,Iraq,18.70
1859,Irbil,Iraq,18.95
1860,Irbil,Iraq,19.06
1861,Irbil,Iraq,17.84
1862,Irbil,Iraq,17.77
1863,Irbil,Iraq,18.18
1864,Irbil,Iraq,18.57
1865,Irbil,Iraq,18.96
1866,Irbil,Iraq,18.72
1867,Irbil,Iraq,18.79
1868,Irbil,Iraq,18.84
1869,Irbil,Iraq,19.13
1870,Irbil,Iraq,18.94
1871,Irbil,Iraq,18.68
1872,Irbil,Iraq,19.38
1873,Irbil,Iraq,19.48
1874,Irbil,Iraq,18.79
1875,Irbil,Iraq,18.45
1876,Irbil,Iraq,19.08
1877,Irbil,Iraq,19.44
1878,Irbil,Iraq,19.42
1879,Irbil,Iraq,19.54
1880,Irbil,Iraq,18.00
1881,Irbil,Iraq,18.79
1882,Irbil,Iraq,18.38
1883,Irbil,Iraq,19.05
1884,Irbil,Iraq,18.45
1885,Irbil,Iraq,18.78
1886,Irbil,Iraq,18.42
1887,Irbil,Iraq,18.86
1888,Irbil,Iraq,19.31
1889,Irbil,Iraq,19.23
1890,Irbil,Iraq,18.71
1891,Irbil,Iraq,18.78
1892,Irbil,Iraq,19.14
1893,Irbil,Iraq,18.73
1894,Irbil,Iraq,18.10
1895,Irbil,Iraq,18.57
1896,Irbil,Iraq,18.22
1897,Irbil,Iraq,18.37
1898,Irbil,Iraq,18.33
1899,Irbil,Iraq,19.41
1900,Irbil,Iraq,18.83
1901,Irbil,Iraq,19.98
1902,Irbil,Iraq,19.31
1903,Irbil,Iraq,18.58
1904,Irbil,Iraq,18.56
1905,Irbil,Iraq,18.53
1906,Irbil,Iraq,18.65
1907,Irbil,Iraq,18.10
1908,Irbil,Iraq,18.52
1909,Irbil,Iraq,19.40
1910,Irbil,Iraq,18.77
1911,Irbil,Iraq,17.39
1912,Irbil,Iraq,19.25
1913,Irbil,Iraq,18.35
1914,Irbil,Iraq,18.70
1915,Irbil,Iraq,19.20
1916,Irbil,Iraq,19.40
1917,Irbil,Iraq,19.41
1918,Irbil,Iraq,18.93
1919,Irbil,Iraq,19.40
1920,Irbil,Iraq,17.69
1921,Irbil,Iraq,18.39
1922,Irbil,Iraq,19.56
1923,Irbil,Iraq,19.17
1924,Irbil,Iraq,19.13
1925,Irbil,Iraq,18.88
1926,Irbil,Iraq,19.09
