year,global_avg_temp,irbil_avg_temp
1808,7.63,12.16
1809,7.08,17.49
1810,6.92,17.50
1811,6.86,17.56
1812,7.05,17.64
1813,7.74,18.28
1814,7.59,18.46
1815,7.24,19.18
1817,6.98,21.38
1818,7.83,5.07
1819,7.37,16.76
1820,7.62,18.17
1821,8.09,18.45
1822,8.19,18.17
1823,7.72,18.60
1824,8.55,19.50
1825,8.39,18.72
1826,8.36,18.61
1827,8.81,19.58
1828,8.17,18.62
1829,7.94,18.69
1830,8.52,19.00
1831,7.64,18.26
1832,7.45,17.60
1833,8.01,18.56
1834,8.15,18.42
1835,7.39,18.01
1836,7.70,18.43
1837,7.38,18.18
1838,7.51,17.91
1839,7.63,18.16
1840,7.80,18.14
1841,7.69,18.37
1842,8.02,18.73
1843,8.17,18.66
1844,7.65,18.36
1845,7.85,18.52
1846,8.55,19.13
1847,8.09,18.72
1848,7.98,18.66
1849,7.98,18.81
1850,7.90,18.21
1851,8.18,19.23
1852,8.10,18.85
1853,8.04,19.17
1854,8.21,18.33
1855,8.11,18.99
1856,8.00,18.47
1857,7.76,18.05
1858,8.10,18.70
1859,8.25,18.95
1860,7.96,19.06
1861,7.85,17.84
1862,7.56,17.77
1863,8.11,18.18
1864,7.98,18.57
1865,8.18,18.96
1866,8.29,18.72
1867,8.44,18.79
1868,8.25,18.84
1869,8.43,19.13
1870,8.20,18.94
1871,8.12,18.68
1872,8.19,19.38
1873,8.35,19.48
1874,8.43,18.79
1875,7.86,18.45
1876,8.08,19.08
1877,8.54,19.44
1878,8.83,19.42
1879,8.17,19.54
1880,8.12,18.00
1881,8.27,18.79
1882,8.13,18.38
1883,7.98,19.05
1884,7.77,18.45
1885,7.92,18.78
1886,7.95,18.42
1887,7.91,18.86
1888,8.09,19.31
1889,8.32,19.23
1890,7.97,18.71
1891,8.02,18.78
1892,8.07,19.14
1893,8.06,18.73
1894,8.16,18.10
1895,8.15,18.57
1896,8.21,18.22
1897,8.29,18.37
1898,8.18,18.33
1899,8.40,19.41
1900,8.50,18.83
1901,8.54,19.98
1902,8.30,19.31
1903,8.22,18.58
1904,8.09,18.56
1905,8.23,18.53
1906,8.38,18.65
1907,7.95,18.10
1908,8.19,18.52
1909,8.18,19.40
1910,8.22,18.77
1911,8.18,17.39
1912,8.17,19.25
1913,8.30,18.35
1914,8.59,18.70
1915,8.59,19.20
1916,8.23,19.40
1917,8.02,19.41
1918,8.13,18.93
1919,8.38,19.40
1920,8.36,17.69
1921,8.57,18.39
1922,8.41,19.56
1923,8.42,19.17
1924,8.51,19.13
1925,8.53,18.88
1926,8.73,19.09
1927,8.52,19.13
1928,8.63,18.82
1929,8.24,19.19
1930,8.63,19.54
1931,8.72,18.92
1932,8.71,18.84
1933,8.34,18.28
1934,8.63,18.76
1935,8.52,19.88
1936,8.55,19.23
1937,8.70,19.74
1938,8.86,18.94
1939,8.76,19.09
1940,8.76,19.53
1941,8.77,19.37
1942,8.73,19.35
1943,8.76,18.97
1944,8.85,19.36
1945,8.58,18.46
1946,8.68,18.83
1947,8.80,20.04
1948,8.75,18.76
1949,8.59,18.33
1950,8.37,18.53
1951,8.63,19.46
1952,8.64,19.68
1953,8.87,18.64
1954,8.56,19.43
1955,8.63,19.97
1956,8.28,18.66
1957,8.73,18.76
1958,8.77,19.56
1959,8.73,18.57
1960,8.58,19.95
1961,8.80,19.38
1962,8.75,20.37
1963,8.86,19.51
1964,8.41,18.71
1965,8.53,19.22
1966,8.60,20.69
1967,8.70,18.30
1968,8.52,19.16
1969,8.60,19.36
1970,8.70,20.13
1971,8.60,19.30
1972,8.50,18.32
1973,8.95,19.26
1974,8.47,19.03
1975,8.74,19.20
1976,8.35,18.74
1977,8.85,19.61
1978,8.69,19.88
1979,8.73,20.60
1980,8.98,19.69
1981,9.17,19.89
1982,8.64,18.47
1983,9.03,19.03
1984,8.69,19.60
1985,8.66,19.75
1986,8.83,19.82
1987,8.99,19.81
1988,9.20,19.15
1989,8.92,19.83
1990,9.23,19.76
1991,9.18,19.68
1992,8.84,17.76
1993,8.87,18.75
1994,9.04,20.02
1995,9.35,19.86
1996,9.04,20.13
1997,9.20,19.23
1998,9.52,20.65
1999,9.29,20.85
2000,9.20,20.28
2001,9.41,20.80
2002,9.57,20.10
2003,9.53,20.19
2004,9.32,20.00
2005,9.70,19.96
2006,9.53,20.12
2007,9.73,20.12
2008,9.43,20.46
2009,9.51,20.26
2010,9.70,21.97
2011,9.52,19.78
2012,9.51,20.70
2013,9.61,21.77
